2013-02-13 22:26:33 upgrade dpkg 1.16.1.2ubuntu7 1.16.1.2ubuntu7
2013-02-13 22:26:33 status half-configured dpkg 1.16.1.2ubuntu7
2013-02-13 22:26:33 status unpacked dpkg 1.16.1.2ubuntu7
2013-02-13 22:26:33 status half-installed dpkg 1.16.1.2ubuntu7
2013-02-13 22:26:34 status half-installed dpkg 1.16.1.2ubuntu7
2013-02-13 22:26:34 status unpacked dpkg 1.16.1.2ubuntu7
2013-02-13 22:26:34 status unpacked dpkg 1.16.1.2ubuntu7
2013-02-13 22:26:34 install e2fslibs <none> 1.42-1ubuntu2
2013-02-13 22:26:34 status half-installed e2fslibs 1.42-1ubuntu2
2013-02-13 22:26:34 status unpacked e2fslibs 1.42-1ubuntu2
2013-02-13 22:26:35 status unpacked e2fslibs 1.42-1ubuntu2
2013-02-13 22:26:35 install e2fsprogs <none> 1.42-1ubuntu2
2013-02-13 22:26:35 status half-installed e2fsprogs 1.42-1ubuntu2
2013-02-13 22:26:35 status unpacked e2fsprogs 1.42-1ubuntu2
2013-02-13 22:26:35 status unpacked e2fsprogs 1.42-1ubuntu2
2013-02-13 22:26:35 install findutils <none> 4.4.2-4ubuntu1
2013-02-13 22:26:35 status half-installed findutils 4.4.2-4ubuntu1
2013-02-13 22:26:35 status unpacked findutils 4.4.2-4ubuntu1
2013-02-13 22:26:35 status unpacked findutils 4.4.2-4ubuntu1
2013-02-13 22:26:36 install gcc-4.6-base <none> 4.6.3-1ubuntu5
2013-02-13 22:26:36 status half-installed gcc-4.6-base 4.6.3-1ubuntu5
2013-02-13 22:26:36 status unpacked gcc-4.6-base 4.6.3-1ubuntu5
2013-02-13 22:26:36 status unpacked gcc-4.6-base 4.6.3-1ubuntu5
2013-02-13 22:26:36 install grep <none> 2.10-1
2013-02-13 22:26:36 status half-installed grep 2.10-1
2013-02-13 22:26:36 status unpacked grep 2.10-1
2013-02-13 22:26:36 status unpacked grep 2.10-1
2013-02-13 22:26:36 install gzip <none> 1.4-1ubuntu2
2013-02-13 22:26:36 status half-installed gzip 1.4-1ubuntu2
2013-02-13 22:26:36 status unpacked gzip 1.4-1ubuntu2
2013-02-13 22:26:36 status unpacked gzip 1.4-1ubuntu2
2013-02-13 22:26:36 install hostname <none> 3.06ubuntu1
2013-02-13 22:26:36 status half-installed hostname 3.06ubuntu1
2013-02-13 22:26:36 status unpacked hostname 3.06ubuntu1
2013-02-13 22:26:36 status unpacked hostname 3.06ubuntu1
2013-02-13 22:26:36 install ifupdown <none> 0.7~beta2ubuntu8
2013-02-13 22:26:36 status half-installed ifupdown 0.7~beta2ubuntu8
2013-02-13 22:26:36 status unpacked ifupdown 0.7~beta2ubuntu8
2013-02-13 22:26:36 status unpacked ifupdown 0.7~beta2ubuntu8
2013-02-13 22:26:36 install initramfs-tools <none> 0.99ubuntu13
2013-02-13 22:26:36 status half-installed initramfs-tools 0.99ubuntu13
2013-02-13 22:26:37 status unpacked initramfs-tools 0.99ubuntu13
2013-02-13 22:26:37 status unpacked initramfs-tools 0.99ubuntu13
2013-02-13 22:26:37 install initramfs-tools-bin <none> 0.99ubuntu13
2013-02-13 22:26:37 status half-installed initramfs-tools-bin 0.99ubuntu13
2013-02-13 22:26:37 status unpacked initramfs-tools-bin 0.99ubuntu13
2013-02-13 22:26:37 status unpacked initramfs-tools-bin 0.99ubuntu13
2013-02-13 22:26:37 install initscripts <none> 2.88dsf-13.10ubuntu11
2013-02-13 22:26:37 status half-installed initscripts 2.88dsf-13.10ubuntu11
2013-02-13 22:26:37 status unpacked initscripts 2.88dsf-13.10ubuntu11
2013-02-13 22:26:37 status unpacked initscripts 2.88dsf-13.10ubuntu11
2013-02-13 22:26:37 install insserv <none> 1.14.0-2.1ubuntu2
2013-02-13 22:26:37 status half-installed insserv 1.14.0-2.1ubuntu2
2013-02-13 22:26:37 status unpacked insserv 1.14.0-2.1ubuntu2
2013-02-13 22:26:37 status unpacked insserv 1.14.0-2.1ubuntu2
2013-02-13 22:26:37 install iproute <none> 20111117-1ubuntu2
2013-02-13 22:26:37 status half-installed iproute 20111117-1ubuntu2
2013-02-13 22:26:37 status unpacked iproute 20111117-1ubuntu2
2013-02-13 22:26:37 status unpacked iproute 20111117-1ubuntu2
2013-02-13 22:26:38 install klibc-utils <none> 1.5.25-1ubuntu2
2013-02-13 22:26:38 status half-installed klibc-utils 1.5.25-1ubuntu2
2013-02-13 22:26:38 status unpacked klibc-utils 1.5.25-1ubuntu2
2013-02-13 22:26:38 status unpacked klibc-utils 1.5.25-1ubuntu2
2013-02-13 22:26:38 install libacl1 <none> 2.2.51-5ubuntu1
2013-02-13 22:26:38 status half-installed libacl1 2.2.51-5ubuntu1
2013-02-13 22:26:38 status unpacked libacl1 2.2.51-5ubuntu1
2013-02-13 22:26:38 status unpacked libacl1 2.2.51-5ubuntu1
2013-02-13 22:26:38 install libattr1 <none> 1:2.4.46-5ubuntu1
2013-02-13 22:26:38 status half-installed libattr1 1:2.4.46-5ubuntu1
2013-02-13 22:26:38 status unpacked libattr1 1:2.4.46-5ubuntu1
2013-02-13 22:26:38 status unpacked libattr1 1:2.4.46-5ubuntu1
2013-02-13 22:26:38 install libblkid1 <none> 2.20.1-1ubuntu3
2013-02-13 22:26:38 status half-installed libblkid1 2.20.1-1ubuntu3
2013-02-13 22:26:38 status unpacked libblkid1 2.20.1-1ubuntu3
2013-02-13 22:26:38 status unpacked libblkid1 2.20.1-1ubuntu3
2013-02-13 22:26:38 install libbz2-1.0 <none> 1.0.6-1
2013-02-13 22:26:38 status half-installed libbz2-1.0 1.0.6-1
2013-02-13 22:26:38 status unpacked libbz2-1.0 1.0.6-1
2013-02-13 22:26:38 status unpacked libbz2-1.0 1.0.6-1
2013-02-13 22:26:38 install libc-bin <none> 2.15-0ubuntu10
2013-02-13 22:26:38 status half-installed libc-bin 2.15-0ubuntu10
2013-02-13 22:26:39 status unpacked libc-bin 2.15-0ubuntu10
2013-02-13 22:26:39 status unpacked libc-bin 2.15-0ubuntu10
2013-02-13 22:26:39 upgrade libc6 2.15-0ubuntu10 2.15-0ubuntu10
2013-02-13 22:26:39 status half-configured libc6 2.15-0ubuntu10
2013-02-13 22:26:39 status unpacked libc6 2.15-0ubuntu10
